init,goal,num_moves,finished,moves taken,sequence,alpha,beta
54,31,4,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '5']]","[54, 46, 45, 32, 31]",1000.0,0.0
42,23,4,True,"[['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[42, 35, 36, 24, 23]",1000.0,0.0
34,13,4,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '1']]","[34, 26, 25, 12, 13]",1000.0,0.0
12,65,10,True,"[['0', '1'], ['1', '5'], ['5', '1'], ['1', '0'], ['0', '5'], ['5', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0']]","[12, 13, 11, 13, 12, 11, 13, 15, 16, 64, 65]",1000.0,0.0
55,41,4,True,"[['3', '2'], ['0', '3'], ['2', '4'], ['1', '5']]","[55, 56, 44, 43, 41]",1000.0,0.0
16,24,4,True,"[['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[16, 15, 22, 23, 24]",1000.0,0.0
25,32,7,True,"[['0', '2'], ['3', '0'], ['0', '3'], ['3', '0'], ['2', '3'], ['0', '4'], ['1', '0']]","[25, 24, 36, 24, 36, 35, 33, 32]",1000.0,0.0
36,15,7,True,"[['0', '3'], ['3', '0'], ['0', '3'], ['2', '0'], ['1', '4'], ['0', '1'], ['4', '0']]","[36, 24, 36, 24, 25, 12, 13, 15]",1000.0,0.0
33,11,9,True,"[['4', '0'], ['3', '2'], ['0', '3'], ['2', '4'], ['4', '2'], ['2', '4'], ['4', '0'], ['1', '4'], ['0', '5']]","[33, 35, 36, 24, 23, 24, 23, 25, 12, 11]",1000.0,0.0
53,13,5,True,"[['1', '0'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4']]","[53, 52, 65, 66, 14, 13]",1000.0,0.0
23,43,23,True,"[['1', '0'], ['4', '1'], ['1', '4'], ['0', '1'], ['1', '5'], ['5', '1'], ['1', '5'], ['5', '1'], ['1', '0'], ['4', '1'], ['3', '2'], ['2', '3'], ['1', '4'], ['0', '1'], ['4', '0'], ['1', '4'], ['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '0'], ['4', '1'], ['0', '4']]","[23, 22, 15, 22, 23, 21, 23, 21, 23, 22, 15, 16, 15, 22, 23, 25, 12, 25, 26, 34, 33, 32, 45, 43]",1000.0,0.0
55,15,11,True,"[['1', '4'], ['0', '5'], ['5', '1'], ['1', '5'], ['5', '1'], ['1', '0'], ['0', '1'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0']]","[55, 62, 61, 63, 61, 63, 62, 63, 65, 66, 14, 15]",1000.0,0.0
42,21,5,True,"[['4', '1'], ['3', '2'], ['0', '3'], ['2', '4'], ['1', '5']]","[42, 35, 36, 24, 23, 21]",1000.0,0.0
54,34,5,True,"[['3', '0'], ['2', '3'], ['1', '4'], ['0', '1'], ['4', '2']]","[54, 46, 45, 32, 33, 34]",1000.0,0.0
52,12,83,True,"[['0', '1'], ['4', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['3', '2'], ['0', '3'], ['3', '0'], ['2', '3'], ['3', '2'], ['0', '3'], ['3', '0'], ['2', '3'], ['0', '4'], ['4', '0'], ['0', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['0', '2'], ['3', '0'], ['2', '3'], ['0', '4'], ['4', '2'], ['3', '0'], ['2', '3'], ['0', '4'], ['4', '2'], ['2', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['0', '2'], ['3', '0'], ['2', '3'], ['0', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['0', '4'], ['4', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['3', '2'], ['2', '3'], ['0', '4'], ['4', '0'], ['0', '2'], ['3', '0'], ['2', '3'], ['0', '4'], ['4', '2'], ['3', '0'], ['0', '3'], ['2', '0'], ['0', '2'], ['3', '0'], ['2', '3'], ['3', '2'], ['0', '3'], ['2', '0'], ['3', '2'], ['0', '3'], ['2', '0'], ['0', '4'], ['1', '0'], ['0', '5'], ['5', '0'], ['4', '1'], ['0', '4'], ['1', '0'], ['0', '1'], ['4', '2'], ['3', '0'], ['0', '3'], ['3', '0'], ['2', '3'], ['0', '4'], ['1', '0']]","[52, 53, 54, 46, 54, 55, 56, 44, 56, 55, 56, 44, 56, 55, 53, 55, 54, 46, 54, 55, 56, 44, 45, 44, 56, 55, 53, 54, 46, 45, 43, 44, 45, 46, 54, 55, 54, 46, 45, 44, 56, 44, 45, 43, 45, 46, 54, 55, 56, 55, 53, 55, 54, 46, 45, 43, 44, 56, 44, 45, 44, 56, 55, 56, 44, 45, 46, 54, 55, 53, 52, 51, 52, 65, 63, 62, 63, 64, 16, 64, 16, 15, 13, 12]",1000.0,0.0
55,35,16,True,"[['1', '4'], ['0', '5'], ['5', '1'], ['1', '5'], ['5', '0'], ['0', '1'], ['1', '0'], ['4', '1'], ['3', '2'], ['0', '3'], ['3', '0'], ['0', '3'], ['2', '0'], ['1', '4'], ['0', '1'], ['4', '0']]","[55, 62, 61, 63, 61, 62, 63, 62, 55, 56, 44, 56, 44, 45, 32, 33, 35]",1000.0,0.0
